trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
626,14:13:00,14:13:00,70052,5,,0,0,17657.01202032,1
626,14:16:00,14:16:00,70062,6,,0,0,21733.69455401,1
626,14:19:00,14:19:00,70072,7,,0,0,24282.86652629,1
626,14:21:00,14:21:00,70082,8,,0,0,26043.38507674,1
626,14:24:00,14:24:00,70092,9,,0,0,28350.06083383,1
626,14:26:00,14:26:00,70102,10,,0,0,30499.05295888,1
626,14:29:00,14:29:00,70112,11,,0,0,31865.93060020,1
626,14:32:00,14:32:00,70122,12,,0,0,35199.25076625,1
626,14:34:00,14:34:00,70132,13,,0,0,37194.42283627,1
626,14:38:00,14:38:00,70142,14,,0,0,40687.04095794,1
626,14:42:00,14:42:00,70162,15,,0,0,46287.60767013,1
626,14:46:00,14:46:00,70172,16,,0,0,48298.98998482,1
626,14:49:00,14:49:00,70192,17,,0,0,50847.25988960,1
626,14:52:00,14:52:00,70202,18,,0,0,54786.94500055,1
626,14:55:00,14:55:00,70212,19,,0,0,57895.35927592,1
626,14:59:00,14:59:00,70222,20,,0,0,62207.87669606,1
626,15:03:00,15:03:00,70232,21,,0,0,65397.82046951,1
626,15:07:00,15:07:00,70242,22,,0,0,71287.50060100,1
626,15:15:00,15:15:00,70262,23,,0,0,75448.72622223,1
628,14:25:00,14:25:00,70012,1,,0,0,0.00000000,1
628,14:30:00,14:30:00,70022,2,,0,0,2521.94934933,1
628,14:34:00,14:34:00,70032,3,,0,0,7940.93034485,1
628,14:40:00,14:40:00,70042,4,,0,0,14613.27361600,1
628,14:43:00,14:43:00,70052,5,,0,0,17657.01202032,1
628,14:46:00,14:46:00,70062,6,,0,0,21733.69455401,1
628,14:49:00,14:49:00,70072,7,,0,0,24282.86652629,1
628,14:51:00,14:51:00,70082,8,,0,0,26043.38507674,1
628,14:54:00,14:54:00,70092,9,,0,0,28350.06083383,1
628,14:56:00,14:56:00,70102,10,,0,0,30499.05295888,1
628,14:59:00,14:59:00,70112,11,,0,0,31865.93060020,1
628,15:02:00,15:02:00,70122,12,,0,0,35199.25076625,1
628,15:04:00,15:04:00,70132,13,,0,0,37194.42283627,1
628,15:08:00,15:08:00,70142,14,,0,0,40687.04095794,1
628,15:12:00,15:12:00,70162,15,,0,0,46287.60767013,1
628,15:16:00,15:16:00,70172,16,,0,0,48298.98998482,1
628,15:19:00,15:19:00,70192,17,,0,0,50847.25988960,1
628,15:22:00,15:22:00,70202,18,,0,0,54786.94500055,1
628,15:25:00,15:25:00,70212,19,,0,0,57895.35927592,1
628,15:29:00,15:29:00,70222,20,,0,0,62207.87669606,1
628,15:33:00,15:33:00,70232,21,,0,0,65397.82046951,1
628,15:37:00,15:37:00,70242,22,,0,0,71287.50060100,1
628,15:44:00,15:44:00,70262,23,,0,0,75448.72622223,1
630,14:55:00,14:55:00,70012,1,,0,0,0.00000000,1
630,15:00:00,15:00:00,70022,2,,0,0,2521.94934933,1
630,15:04:00,15:04:00,70032,3,,0,0,7940.93034485,1
630,15:10:00,15:10:00,70042,4,,0,0,14613.27361600,1
630,15:13:00,15:13:00,70052,5,,0,0,17657.01202032,1
630,15:16:00,15:16:00,70062,6,,0,0,21733.69455401,1
630,15:19:00,15:19:00,70072,7,,0,0,24282.86652629,1
630,15:21:00,15:21:00,70082,8,,0,0,26043.38507674,1
630,15:24:00,15:24:00,70092,9,,0,0,28350.06083383,1
630,15:26:00,15:26:00,70102,10,,0,0,30499.05295888,1
630,15:29:00,15:29:00,70112,11,,0,0,31865.93060020,1
630,15:32:00,15:32:00,70122,12,,0,0,35199.25076625,1
630,15:34:00,15:34:00,70132,13,,0,0,37194.42283627,1
630,15:38:00,15:38:00,70142,14,,0,0,40687.04095794,1
630,15:42:00,15:42:00,70162,15,,0,0,46287.60767013,1
630,15:46:00,15:46:00,70172,16,,0,0,48298.98998482,1
630,15:49:00,15:49:00,70192,17,,0,0,50847.25988960,1
630,15:52:00,15:52:00,70202,18,,0,0,54786.94500055,1
630,15:55:00,15:55:00,70212,19,,0,0,57895.35927592,1
630,15:59:00,15:59:00,70222,20,,0,0,62207.87669606,1
630,16:03:00,16:03:00,70232,21,,0,0,65397.82046951,1
630,16:07:00,16:07:00,70242,22,,0,0,71287.50060100,1
630,16:15:00,16:15:00,70262,23,,0,0,75448.72622223,1
632,15:25:00,15:25:00,70012,1,,0,0,0.00000000,1
632,15:30:00,15:30:00,70022,2,,0,0,2521.94934933,1
632,15:34:00,15:34:00,70032,3,,0,0,7940.93034485,1
632,15:40:00,15:40:00,70042,4,,0,0,14613.27361600,1
632,15:43:00,15:43:00,70052,5,,0,0,17657.01202032,1
632,15:46:00,15:46:00,70062,6,,0,0,21733.69455401,1
632,15:49:00,15:49:00,70072,7,,0,0,24282.86652629,1
632,15:51:00,15:51:00,70082,8,,0,0,26043.38507674,1
632,15:54:00,15:54:00,70092,9,,0,0,28350.06083383,1
632,15:56:00,15:56:00,70102,10,,0,0,30499.05295888,1
632,15:59:00,15:59:00,70112,11,,0,0,31865.93060020,1
632,16:02:00,16:02:00,70122,12,,0,0,35199.25076625,1
632,16:04:00,16:04:00,70132,13,,0,0,37194.42283627,1
632,16:08:00,16:08:00,70142,14,,0,0,40687.04095794,1
632,16:12:00,16:12:00,70162,15,,0,0,46287.60767013,1
632,16:16:00,16:16:00,70172,16,,0,0,48298.98998482,1
632,16:19:00,16:19:00,70192,17,,0,0,50847.25988960,1
632,16:22:00,16:22:00,70202,18,,0,0,54786.94500055,1
632,16:25:00,16:25:00,70212,19,,0,0,57895.35927592,1
632,16:29:00,16:29:00,70222,20,,0,0,62207.87669606,1
632,16:33:00,16:33:00,70232,21,,0,0,65397.82046951,1
632,16:37:00,16:37:00,70242,22,,0,0,71287.50060100,1
